,gene_id,gene_name
12527,ENSG00000177409,SAMD9L
12556,ENSG00000127922,SHFM1
12563,ENSG00000196636,ACN9
12570,ENSG00000164713,BRI3
12580,ENSG00000241685,ARPC1A
12582,ENSG00000106244,PDAP1
12583,ENSG00000106245,BUD31
12588,ENSG00000241468,ATP5J2
12607,ENSG00000106261,ZKSCAN1
12610,ENSG00000168090,COPS6
12634,ENSG00000166925,TSC22D4
12646,ENSG00000172354,GNB2
12669,ENSG00000106400,ZNHIT1
12671,ENSG00000214253,FIS1
12682,ENSG00000160991,ORAI2
12685,ENSG00000005075,POLR2J
12702,ENSG00000161048,NAPEPLD
